Dates,BCOMENTR Index,BCOMPRTR Index,BCOMINTR Index,BCOMAGTR Index
01/01/1980,#N/A N/A,216.3681,#N/A N/A,75.6933
02/01/1980,#N/A N/A,225.3847,#N/A N/A,74.8827
03/01/1980,#N/A N/A,234.3368,#N/A N/A,74.7124
04/01/1980,#N/A N/A,242.1789,#N/A N/A,74.8611
07/01/1980,#N/A N/A,250.8602,#N/A N/A,74.7359
08/01/1980,#N/A N/A,244.3665,#N/A N/A,74.8977
09/01/1980,#N/A N/A,245.8411,#N/A N/A,73.0422
10/01/1980,#N/A N/A,248.3933,#N/A N/A,72.9491
11/01/1980,#N/A N/A,257.4956,#N/A N/A,74.5242
14/01/1980,#N/A N/A,266.8516,#N/A N/A,74.6361
15/01/1980,#N/A N/A,279.6707,#N/A N/A,74.4681
16/01/1980,#N/A N/A,296.0239,#N/A N/A,74.5008
17/01/1980,#N/A N/A,312.3878,#N/A N/A,76.5978
18/01/1980,#N/A N/A,325.9963,#N/A N/A,76.0285
21/01/1980,#N/A N/A,332.9994,#N/A N/A,75.7424
22/01/1980,#N/A N/A,316.8226,#N/A N/A,75.9023
23/01/1980,#N/A N/A,300.6343,#N/A N/A,76.9945
24/01/1980,#N/A N/A,284.4346,#N/A N/A,76.7355
25/01/1980,#N/A N/A,268.2234,#N/A N/A,76.0497
28/01/1980,#N/A N/A,265.8265,#N/A N/A,76.1364
29/01/1980,#N/A N/A,281.1653,#N/A N/A,77.1223
30/01/1980,#N/A N/A,272.1851,#N/A N/A,78.1789
31/01/1980,#N/A N/A,277.0638,#N/A N/A,78.8867
01/02/1980,#N/A N/A,275.0976,#N/A N/A,79.3144
04/02/1980,#N/A N/A,265.5484,#N/A N/A,80.7176
05/02/1980,#N/A N/A,274.9099,#N/A N/A,79.723
06/02/1980,#N/A N/A,284.2776,#N/A N/A,79.3788
07/02/1980,#N/A N/A,281.7161,#N/A N/A,79.5112
08/02/1980,#N/A N/A,286.1142,#N/A N/A,80.0938
11/02/1980,#N/A N/A,290.9904,#N/A N/A,81.0748
12/02/1980,#N/A N/A,288.8303,#N/A N/A,80.3913
13/02/1980,#N/A N/A,284.1501,#N/A N/A,81.0303
14/02/1980,#N/A N/A,277.1576,#N/A N/A,80.777
15/02/1980,#N/A N/A,273.1142,#N/A N/A,80.2208
18/02/1980,#N/A N/A,273.1142,#N/A N/A,80.2208
19/02/1980,#N/A N/A,264.2529,#N/A N/A,78.9554
20/02/1980,#N/A N/A,267.1518,#N/A N/A,78.8334
21/02/1980,#N/A N/A,266.8155,#N/A N/A,79.1412
22/02/1980,#N/A N/A,257.6274,#N/A N/A,78.4495
25/02/1980,#N/A N/A,263.8729,#N/A N/A,78.8552
26/02/1980,#N/A N/A,256.2879,#N/A N/A,78.9404
27/02/1980,#N/A N/A,257.5905,#N/A N/A,78.7949
28/02/1980,#N/A N/A,262.6029,#N/A N/A,78.5756
29/02/1980,#N/A N/A,261.8894,#N/A N/A,78.6207
03/03/1980,#N/A N/A,261.6902,#N/A N/A,79.4749
04/03/1980,#N/A N/A,266.6995,#N/A N/A,79.7064
05/03/1980,#N/A N/A,264.2729,#N/A N/A,80.0713
06/03/1980,#N/A N/A,255.5968,#N/A N/A,78.5495
07/03/1980,#N/A N/A,249.7988,#N/A N/A,77.6591
10/03/1980,#N/A N/A,237.2538,#N/A N/A,75.9796
11/03/1980,#N/A N/A,235.7873,#N/A N/A,76.5022
12/03/1980,#N/A N/A,236.8201,#N/A N/A,76.2139
13/03/1980,#N/A N/A,224.2048,#N/A N/A,74.8524
14/03/1980,#N/A N/A,217.8914,#N/A N/A,75.4684
17/03/1980,#N/A N/A,201.9918,#N/A N/A,74.8547
18/03/1980,#N/A N/A,202.1773,#N/A N/A,75.6378
19/03/1980,#N/A N/A,214.1736,#N/A N/A,76.4175
20/03/1980,#N/A N/A,212.339,#N/A N/A,76.0185
21/03/1980,#N/A N/A,217.792,#N/A N/A,76.4373
24/03/1980,#N/A N/A,211.6663,#N/A N/A,75.7558
25/03/1980,#N/A N/A,203.7167,#N/A N/A,75.1261
26/03/1980,#N/A N/A,194.6032,#N/A N/A,75.3187
27/03/1980,#N/A N/A,185.4809,#N/A N/A,73.593
28/03/1980,#N/A N/A,191.596,#N/A N/A,73.141
31/03/1980,#N/A N/A,188.0086,#N/A N/A,72.2029
01/04/1980,#N/A N/A,184.7939,#N/A N/A,71.7291
02/04/1980,#N/A N/A,180.1615,#N/A N/A,72.3599
03/04/1980,#N/A N/A,176.7991,#N/A N/A,73.5799
04/04/1980,#N/A N/A,176.7991,#N/A N/A,73.5799
07/04/1980,#N/A N/A,182.6635,#N/A N/A,73.9423
08/04/1980,#N/A N/A,191.9983,#N/A N/A,74.0369
09/04/1980,#N/A N/A,190.9564,#N/A N/A,75.2106
10/04/1980,#N/A N/A,188.4832,#N/A N/A,74.8662
11/04/1980,#N/A N/A,188.1274,#N/A N/A,75.2087
14/04/1980,#N/A N/A,179.8038,#N/A N/A,74.3518
15/04/1980,#N/A N/A,182.215,#N/A N/A,74.8541
16/04/1980,#N/A N/A,177.8049,#N/A N/A,75.471
17/04/1980,#N/A N/A,179.7335,#N/A N/A,74.979
18/04/1980,#N/A N/A,178.8356,#N/A N/A,74.1582
21/04/1980,#N/A N/A,171.4439,#N/A N/A,74.4201
22/04/1980,#N/A N/A,175.116,#N/A N/A,74.9975
23/04/1980,#N/A N/A,176.5862,#N/A N/A,74.3744
24/04/1980,#N/A N/A,184.2612,#N/A N/A,75.0179
25/04/1980,#N/A N/A,187.9674,#N/A N/A,75.651
28/04/1980,#N/A N/A,179.4418,#N/A N/A,74.2132
29/04/1980,#N/A N/A,180.8775,#N/A N/A,74.2056
30/04/1980,#N/A N/A,172.5015,#N/A N/A,74.258
01/05/1980,#N/A N/A,174.9032,#N/A N/A,74.7261
02/05/1980,#N/A N/A,175.9936,#N/A N/A,75.4566
05/05/1980,#N/A N/A,178.1894,#N/A N/A,77.1156
06/05/1980,#N/A N/A,173.7705,#N/A N/A,76.6031
07/05/1980,#N/A N/A,176.3777,#N/A N/A,77.8101
08/05/1980,#N/A N/A,174.6672,#N/A N/A,78.7373
09/05/1980,#N/A N/A,175.6423,#N/A N/A,79.5278
12/05/1980,#N/A N/A,173.0317,#N/A N/A,78.703
13/05/1980,#N/A N/A,176.9736,#N/A N/A,78.7551
14/05/1980,#N/A N/A,178.4862,#N/A N/A,79.2044
15/05/1980,#N/A N/A,174.3936,#N/A N/A,79.1874
16/05/1980,#N/A N/A,174.3991,#N/A N/A,78.7286
19/05/1980,#N/A N/A,172.3263,#N/A N/A,78.6764
