Date,VIX Index,OVX Index,MOVE Index,DXY Curncy,FDTR Index,FDFD Index,GT10 Govt,GDP CQOQ Index,BENWUSGC Index,GDGCAFJP Index,STLNENIC Index,NAPMPMI Index,SPX Index,ES1 Index,MXWO Index
01/01/1985,#N/A N/A,#N/A N/A,#N/A N/A,151.47,8.25,#N/A N/A,11.514,3.3,#N/A N/A,#N/A N/A,#N/A N/A,50.6,167.24,#N/A N/A,187.2
02/01/1985,#N/A N/A,#N/A N/A,#N/A N/A,152.23,8.25,#N/A N/A,11.741,3.3,#N/A N/A,#N/A N/A,#N/A N/A,50.6,165.37,#N/A N/A,185.51
03/01/1985,#N/A N/A,#N/A N/A,#N/A N/A,151.97,8.25,#N/A N/A,11.6,3.3,#N/A N/A,#N/A N/A,#N/A N/A,50.6,164.57,#N/A N/A,184.75
04/01/1985,#N/A N/A,#N/A N/A,#N/A N/A,152.11,8.25,#N/A N/A,11.6,3.3,#N/A N/A,#N/A N/A,#N/A N/A,50.6,163.68,#N/A N/A,184.59
07/01/1985,#N/A N/A,#N/A N/A,#N/A N/A,152.81,8.25,#N/A N/A,11.503,3.3,#N/A N/A,#N/A N/A,#N/A N/A,50.6,164.24,#N/A N/A,184.75
08/01/1985,#N/A N/A,#N/A N/A,#N/A N/A,151.91,8.25,#N/A N/A,11.428,3.3,#N/A N/A,#N/A N/A,#N/A N/A,50.6,163.99,#N/A N/A,185.56
09/01/1985,#N/A N/A,#N/A N/A,#N/A N/A,152.4,8.25,#N/A N/A,11.46,3.3,#N/A N/A,#N/A N/A,#N/A N/A,50.6,165.18,#N/A N/A,186.39
10/01/1985,#N/A N/A,#N/A N/A,#N/A N/A,151.8,8.25,#N/A N/A,11.503,3.3,#N/A N/A,#N/A N/A,#N/A N/A,50.6,168.31,#N/A N/A,188.8
11/01/1985,#N/A N/A,#N/A N/A,#N/A N/A,152.41,8.25,#N/A N/A,11.567,3.3,#N/A N/A,#N/A N/A,#N/A N/A,50.6,167.91,#N/A N/A,188.49
14/01/1985,#N/A N/A,#N/A N/A,#N/A N/A,153.89,8.25,#N/A N/A,11.567,3.3,#N/A N/A,#N/A N/A,#N/A N/A,50.6,170.51,#N/A N/A,189.28
15/01/1985,#N/A N/A,#N/A N/A,#N/A N/A,153.47,8.25,#N/A N/A,11.459,3.3,#N/A N/A,#N/A N/A,#N/A N/A,50.6,170.81,#N/A N/A,189.28
16/01/1985,#N/A N/A,#N/A N/A,#N/A N/A,153.64,8.25,#N/A N/A,11.459,3.3,#N/A N/A,#N/A N/A,#N/A N/A,50.6,171.19,#N/A N/A,190.22
